,holtwinters,average,shifted
2025-01-31,5329.227798901798,7861.299962921764,7472.258064516129
2025-02-28,6194.433266524807,8881.630131362888,7749.068965517241
2025-03-31,6255.645695342221,9089.924731182795,8168.032258064516
2025-04-30,6931.542649949337,9910.844444444445,8995.466666666667
2025-05-31,5434.067389929453,8525.903225806453,7728.193548387097
2025-06-30,5008.370873988428,8202.922222222222,8347.3
2025-07-31,5514.903015566214,8800.569892473119,7627.193548387097
2025-08-31,5685.185171260211,9059.591397849463,8493.161290322581
2025-09-30,7048.899472819392,10488.27777777778,8621.333333333334
2025-10-31,6647.369053591041,10151.31182795699,9214.161290322581
2025-11-30,3985.8588863464274,7618.0,6047.366666666667
2025-12-31,3557.910015403527,7345.774193548386,5272.032258064516
