date,steps
2022-01-03,5171
2022-01-04,10336
2022-01-05,4014
2022-01-06,4797
2022-01-07,10705
2022-01-08,6941
2022-01-09,7170
2022-01-10,7472
2022-01-11,13900
2022-01-12,5842
2022-01-13,10388
2022-01-14,5796
2022-01-15,7590
2022-01-16,4014
2022-01-17,5236
2022-01-18,9634
2022-01-19,2070
2022-01-20,4
2022-01-21,4014
2022-01-22,4014
2022-01-23,4014
2022-01-24,6741
2022-01-25,4014
2022-01-26,5268
2022-01-27,3999
2022-01-28,6182
2022-01-29,876
2022-01-30,5269
2022-01-31,7179
2022-02-01,13101
2022-02-02,5850
2022-02-03,577
2022-02-04,5916
2022-02-05,8001
2022-02-06,11379
2022-02-07,6220
2022-02-08,11711
2022-02-09,7556
2022-02-10,4817
2022-02-11,4866
2022-02-12,2758
2022-02-13,6639
2022-02-14,3875
2022-02-15,11114
2022-02-16,4977
2022-02-17,12174
2022-02-18,10742
2022-02-19,7920
2022-02-20,11389
2022-02-21,9210
2022-02-22,14380
2022-02-23,6584
2022-02-24,10144
2022-02-25,5390
2022-02-26,9961
2022-02-27,6877
2022-02-28,6639
2022-03-01,15070
2022-03-02,9550
2022-03-03,9030
2022-03-04,7534
2022-03-05,917
2022-03-06,9933
2022-03-07,8602
2022-03-08,13836
2022-03-09,7194
2022-03-10,20158
2022-03-11,9001
2022-03-12,12515
2022-03-13,6695
2022-03-14,6727
2022-03-15,9646
2022-03-16,17214
2022-03-17,13786
2022-03-18,5938
2022-03-19,8673
2022-03-20,11140
2022-03-21,6634
2022-03-22,8559
2022-03-23,5089
2022-03-24,7088
2022-03-25,4819
2022-03-26,4014
2022-03-27,14
2022-03-28,6165
2022-03-29,13557
2022-03-30,4746
2022-03-31,5577
2022-04-01,6485
2022-04-02,4902
2022-04-03,9340
2022-04-04,10212
2022-04-05,11364
2022-04-06,10057
2022-04-07,15588
2022-04-08,6790
2022-04-09,7208
2022-04-10,11209
2022-04-11,14692
2022-04-12,22169
2022-04-13,9115
2022-04-14,10467
2022-04-15,12215
2022-04-16,4103
2022-04-17,4800
2022-04-18,9135
2022-04-19,11142
2022-04-20,13784
2022-04-21,10773
2022-04-22,15618
2022-04-23,14489
2022-04-24,13600
2022-04-25,12326
2022-04-26,6113
2022-04-27,15742
2022-04-28,13799
2022-04-29,16530
2022-04-30,9129
2022-05-01,12792
2022-05-02,9442
2022-05-03,9748
2022-05-04,8835
2022-05-05,8470
2022-05-06,18649
2022-05-07,5478
2022-05-08,12384
2022-05-09,21567
2022-05-10,12825
2022-05-11,22778
2022-05-12,4777
2022-05-13,10629
2022-05-14,9637
2022-05-15,1410
2022-05-16,13736
2022-05-17,15104
2022-05-18,8807
2022-05-19,8629
2022-05-20,11324
2022-05-21,3838
2022-05-22,11606
2022-05-23,7727
2022-05-24,2318
2022-05-25,15763
2022-05-26,6649
2022-05-27,11889
2022-05-28,13106
2022-05-29,4558
2022-05-30,16327
2022-05-31,10515
2022-06-01,11577
2022-06-02,12569
2022-06-03,8766
2022-06-04,6344
2022-06-05,6214
2022-06-06,4772
2022-06-07,9045
2022-06-08,4984
2022-06-09,9383
2022-06-10,10364
2022-06-11,14211
2022-06-12,8000
2022-06-13,9166
2022-06-14,9287
2022-06-15,11652
2022-06-16,9802
2022-06-17,10798
2022-06-18,10661
2022-06-19,14823
2022-06-20,10011
2022-06-21,11934
2022-06-22,7916
2022-06-23,7318
2022-06-24,13233
2022-06-25,15161
2022-06-26,3342
2022-06-27,6394
2022-06-28,14424
2022-06-29,12005
2022-06-30,12861
2022-07-01,10664
2022-07-02,4353
2022-07-03,6824
2022-07-04,13033
2022-07-05,7981
2022-07-06,9608
2022-07-07,5018
2022-07-08,2435
2022-07-09,10676
2022-07-10,5670
2022-07-11,8525
2022-07-12,13096
2022-07-13,10245
2022-07-14,9592
2022-07-15,11191
2022-07-16,6071
2022-07-17,11929
2022-07-18,10259
2022-07-19,9696
2022-07-20,10121
2022-07-21,7561
2022-07-22,14814
2022-07-23,13218
2022-07-24,7007
2022-07-25,9144
2022-07-26,11372
2022-07-27,10514
2022-07-28,11181
2022-07-29,7197
2022-07-30,14166
2022-07-31,5254
2022-08-01,11644
2022-08-02,6304
2022-08-03,14044
2022-08-04,12175
2022-08-05,9892
2022-08-06,15223
2022-08-07,4083
2022-08-08,6150
2022-08-09,3057
2022-08-10,1694
2022-08-11,912
2022-08-12,4014
2022-08-13,4014
2022-08-14,70
2022-08-15,5738
2022-08-16,4488
